id,post_id,post_action_type,created_at,updated_at,deleted_at,deleted_by,related_post_id
9721,27831,#<PostActionType:0x00007f754f7cce48>,2021-07-16 17:11:09 UTC,2021-07-16 17:11:09 UTC,,,
9793,30436,#<PostActionType:0x00007f7556009588>,2021-07-26 14:38:09 UTC,2021-07-26 14:38:09 UTC,,,
10005,10801,#<PostActionType:0x00007f7555fee328>,2021-08-23 15:52:41 UTC,2021-08-23 15:52:41 UTC,,,
10008,30486,#<PostActionType:0x00007f755596b118>,2021-08-23 15:52:58 UTC,2021-08-23 15:52:58 UTC,,,
10011,30664,#<PostActionType:0x00007f7555968490>,2021-08-23 15:53:47 UTC,2021-08-23 15:53:47 UTC,,,
10184,31531,#<PostActionType:0x00007f7557b61060>,2021-09-17 16:17:11 UTC,2021-09-17 16:17:11 UTC,,,
10199,31559,#<PostActionType:0x00007f7554f3cb88>,2021-09-18 19:34:07 UTC,2021-09-18 19:34:07 UTC,,,
10256,31619,#<PostActionType:0x00007f7555ee8cf8>,2021-09-23 20:41:39 UTC,2021-09-23 20:41:39 UTC,,,
10465,6233,#<PostActionType:0x00007f7555e9e950>,2021-10-23 02:40:52 UTC,2021-10-23 02:40:52 UTC,,,
10494,32345,#<PostActionType:0x00007f7555bf6838>,2021-10-26 13:40:37 UTC,2021-10-26 13:40:37 UTC,,,
10636,32938,#<PostActionType:0x00007f756bedf548>,2021-11-19 21:48:53 UTC,2021-11-19 21:48:53 UTC,,,
10686,33034,#<PostActionType:0x00007f756bedc168>,2021-11-30 03:30:54 UTC,2021-11-30 03:30:54 UTC,,,
10736,33086,#<PostActionType:0x00007f7555b184e8>,2021-12-05 04:05:00 UTC,2021-12-05 04:05:00 UTC,,,
10789,28721,#<PostActionType:0x00007f75548ced28>,2021-12-14 23:40:47 UTC,2021-12-14 23:40:47 UTC,,,
10988,33783,#<PostActionType:0x00007f756996f718>,2022-01-17 21:32:58 UTC,2022-01-17 21:32:58 UTC,,,
10997,26271,#<PostActionType:0x00007f75583777b8>,2022-01-17 22:22:33 UTC,2022-01-17 22:22:33 UTC,,,
10998,33712,#<PostActionType:0x00007f7558374680>,2022-01-17 22:22:48 UTC,2022-01-17 22:22:48 UTC,,,
11142,34217,#<PostActionType:0x00007f756cc510a0>,2022-02-14 14:12:02 UTC,2022-02-14 14:12:02 UTC,,,
11146,34205,#<PostActionType:0x00007f7556089ee0>,2022-02-14 17:42:28 UTC,2022-02-14 17:42:28 UTC,,,
11191,34376,#<PostActionType:0x00007f7555303578>,2022-02-22 23:40:28 UTC,2022-02-22 23:40:28 UTC,,,
11227,29291,#<PostActionType:0x00007f756a186b68>,2022-02-26 16:29:52 UTC,2022-02-26 16:29:52 UTC,,,
11347,15800,#<PostActionType:0x00007f75699eb3e0>,2022-03-14 21:12:17 UTC,2022-03-14 21:12:17 UTC,,,
11385,3219,#<PostActionType:0x00007f75699e8b90>,2022-03-18 16:26:05 UTC,2022-03-18 16:26:05 UTC,,,
11451,34886,#<PostActionType:0x00007f7555046308>,2022-03-30 22:58:08 UTC,2022-03-30 22:58:08 UTC,,,
11497,35102,#<PostActionType:0x00007f75699cf7a8>,2022-04-10 05:30:38 UTC,2022-04-10 05:30:39 UTC,,,
11515,35125,#<PostActionType:0x00007f75699cc5d0>,2022-04-11 16:40:17 UTC,2022-04-11 16:40:17 UTC,,,
11575,35293,#<PostActionType:0x00007f756cd6d6c8>,2022-04-19 03:41:47 UTC,2022-04-19 03:41:47 UTC,,,
11612,24203,#<PostActionType:0x00007f756cd59a10>,2022-04-25 04:46:02 UTC,2022-04-25 04:46:02 UTC,,,
11613,35433,#<PostActionType:0x00007f756cd50e60>,2022-04-25 10:01:57 UTC,2022-04-25 10:01:57 UTC,,,
11753,35875,#<PostActionType:0x00007f75699720d0>,2022-05-20 19:17:29 UTC,2022-05-20 19:17:29 UTC,,,
11758,35789,#<PostActionType:0x00007f7557e67638>,2022-05-21 10:13:06 UTC,2022-05-21 10:13:06 UTC,,,
11778,35883,#<PostActionType:0x00007f7557e64e38>,2022-05-23 00:50:39 UTC,2022-05-23 00:50:40 UTC,,,
11866,35793,#<PostActionType:0x00007f756cd4dfa8>,2022-06-22 07:27:16 UTC,2022-06-22 07:27:16 UTC,,,
11906,36373,#<PostActionType:0x00007f755799f7b8>,2022-07-02 04:20:15 UTC,2022-07-02 04:20:15 UTC,,,
11938,36408,#<PostActionType:0x00007f755799ce78>,2022-07-07 14:28:42 UTC,2022-07-07 14:28:42 UTC,,,
11948,36470,#<PostActionType:0x00007f755876e3d0>,2022-07-08 19:57:59 UTC,2022-07-08 19:57:59 UTC,,,
11950,36476,#<PostActionType:0x00007f755502b620>,2022-07-08 22:12:17 UTC,2022-07-08 22:12:17 UTC,,,
11969,4887,#<PostActionType:0x00007f7555028a88>,2022-07-13 16:27:21 UTC,2022-07-13 16:27:22 UTC,,,
11975,1609,#<PostActionType:0x00007f755439a000>,2022-07-14 16:51:57 UTC,2022-07-14 16:51:57 UTC,,,
11977,36573,#<PostActionType:0x00007f7558373550>,2022-07-14 16:53:00 UTC,2022-07-14 16:53:00 UTC,,,
